Player,Position,Team,TotalMoney,YearlySalary
Ha Ha Clinton-Dix,S,Packers,8.339,2.085
Kyle Long,RG,Bears,8.301,2.075
Shea McClellin,43DE,Bears,8.263,2.066
Tyler Eifert,TE,Bengals,8.256,2.064
Johnny Manziel,QB,Browns,8.249,2.062
Kendall Wright,WR,Titans,8.218,2.055
Paul Fanaika,RG,Chiefs,6.15,2.05
Nickell Robey,CB,Bills,4.1,2.05
Roy Helu,RB,Raiders,4.1,2.05
Prince Amukamara,CB,Giants,8.181,2.045
Chandler Jones,43DE,Patriots,8.173,2.043
Desmond Trufant,CB,Falcons,8.166,2.042
Dee Ford,34OLB,Chiefs,8.159,2.04
Phillip Dorsett,WR,Colts,8.135,2.034
Ryan Allen,P,Patriots,6.1,2.033
Sharrif Floyd,43DT,Vikings,8.076,2.019
Anthony Castonzo,LT,Colts,8.001,2
Niles Paul,TE,Redskins,6,2
Sean Lissemore,34DT,Chargers,6,2
Chris Ivory,RB,Jets,6,2
DeAngelo Williams,RB,Steelers,4,2
Cam Thomas,DT,Steelers,4,2
Matt Slater,WR,Patriots,4,2
Al Woods,34DT,Titans,4,2
Dwan Edwards,43DT,Panthers,4,2
Vance Walker,34DE,Broncos,4,2
George Wilson,S,Titans,4,2
Blaine Gabbert,QB,49ers,4,2
Charlie Whitehurst,QB,Titans,4,2
Pierre Thomas,RB,Saints,4,2
Antonio Smith,34DE,Broncos,2,2
Matt Schaub,QB,Ravens,2,2
Daryn Colledge,LG,Dolphins,2,2
Matt Cassel,QB,Bills,2,2
Frostee Rucker,34DE,Cardinals,2,2
Jeremy Mincey,43DE,Cowboys,2,2
Patrick Robinson,CB,Chargers,2,2
Samson Satele,C,Dolphins,2,2
Bilal Powell,RB,Jets,2,2
Stefen Wisniewski,C,Jaguars,2,2
Riley Reiff,RT,Lions,7.994,1.998
Darqueze Dennard,CB,Bengals,7.979,1.995
Damarious Randall,S,Packers,7.916,1.979
Bjoern Werner,34OLB,Colts,7.896,1.974
Jason Verrett,CB,Chargers,7.889,1.972
David DeCastro,RG,Steelers,7.814,1.953
Xavier Rhodes,CB,Vikings,7.807,1.952
Marcus Smith,34OLB,Eagles,7.799,1.95
Stephone Anthony,ILB,Saints,7.732,1.933
Donta Hightower,43OLB,Patriots,7.724,1.931
Datone Jones,34DE,Packers,7.717,1.929
Deone Bucannon,S,Cardinals,7.709,1.927
Kroy Biermann,43DE,Falcons,1.925,1.925
Kelvin Benjamin,WR,Panthers,7.664,1.916
DeAndre Hopkins,WR,Texans,7.627,1.907
Malcom Brown,43DT,Patriots,7.613,1.903
Darrell Stuckey,S,Chargers,7.6,1.9
Jeff Cumberland,TE,Jets,5.7,1.9
Sylvester Williams,34DT,Broncos,7.582,1.895
Kevin Zeitler,RG,Bengals,7.544,1.886
Jim Dray,TE,Browns,5.625,1.875
Jay Ratliff,43DT,Bears,3.75,1.875
Karl Klug,34DE,Titans,3.75,1.875
Robert Ayers,43DE,Giants,3.75,1.875
Nick Perry,LB,Packers,7.499,1.875
Ramon Foster,LG,Steelers,5.5,1.833
Shane Lechler,P,Texans,5.5,1.833
Donnie Jones,P,Eagles,5.5,1.833
Dominique Easley,DT,Patriots,7.304,1.826
Cordarrelle Patterson,WR,Vikings,7.221,1.805
Daniel Kilgore,C,49ers,5.4,1.8
Kendrick Lewis,S,Ravens,5.4,1.8
Bruce Miller,FB,49ers,5.4,1.8
Harrison Smith,S,Vikings,7.139,1.785
Adam Jones,CB,Bengals,5.35,1.783
Jimmie Ward,S,49ers,7.113,1.778
Thomas DeCoud,S,,3.525,1.763
Rob Housler,TE,Browns,1.76,1.76
Alec Ogletree,ILB,Rams,7.03,1.758
Marcus Easley,WR,Bills,7,1.75
Jarrett Bush,CB,Packers,5.25,1.75
Andrew Gachkar,ILB,Cowboys,3.5,1.75
Rashean Mathis,CB,Lions,3.5,1.75
Mike Nugent,K,Bengals,3.5,1.75
Tyrunn Walker,43DE,Lions,1.75,1.75
Davin Joseph,RG,Rams,1.75,1.75
BJ Raji,34DE,Packers,1.75,1.75
Charles Tillman,CB,Panthers,1.75,1.75
Chris Clark,RT,Texans,3.477,1.739
Bradley Roby,CB,Broncos,6.953,1.738
Travis Frederick,C,Cowboys,6.87,1.718
Kraig Urbik,LG,Bills,3.425,1.713
Teddy Bridgewater,QB,Vikings,6.85,1.712
O’Brien Schofield,34OLB,Falcons,1.7,1.7
Doug Martin,RB,Buccaneers,6.788,1.697
Matt Elam,S,Ravens,6.767,1.692
Ben Watson,TE,Saints,4.95,1.65
Bruce Gradkowski,QB,Steelers,4.95,1.65
John Jerry,RG,Giants,3.3,1.65
Nate Garner,LT,Dolphins,4.875,1.625
AJ Hawk,ILB,Bengals,3.25,1.625
Ryan Wendell,C,Patriots,3.25,1.625
Brandon Myers,TE,Buccaneers,3.25,1.625
James Starks,RB,Packers,3.25,1.625
Jerricho Cotchery,WR,Panthers,8.015,1.603
Luke Stocker,TE,Buccaneers,4.8,1.6
Mike Pollak,LG,Bengals,4.8,1.6
Rafael Bush,S,Saints,3.8,1.6
Ian Williams,DT,49ers,3.2,1.6
Jacob Tamme,TE,Falcons,3.2,1.6
Louis Murphy,WR,Buccaneers,4.75,1.583
Manny Ramirez,C,Lions,3.15,1.575
James Ihedigbo,S,Lions,3.15,1.575
Mackenzy Bernadeau,G,Cowboys,3.1,1.55
Michael Harris,LT,Vikings,1.542,1.542
Andre Holmes,WR,Raiders,1.542,1.542
Antwon Blake,CB,Steelers,1.542,1.542
Johnson Bademosi,S,Browns,1.542,1.542
Marquette King,P,Raiders,1.542,1.542
Lance Dunbar,RB,Cowboys,1.542,1.542
Bobby Rainey,RB,Buccaneers,1.542,1.542
Don Barclay,RT,Packers,1.542,1.542
Corey White,CB,Cowboys,1.542,1.542
Cory Harkey,TE,Rams,1.542,1.542
Robert Golden,S,Steelers,1.542,1.542
Jaiquawn Jarrett,S,Jets,1.542,1.542
Larry Asante,S,Raiders,1.542,1.542
Will Johnson,FB,Steelers,1.542,1.542
Landon Collins,S,Giants,6.121,1.53
Eugene Sims,43DE,Rams,3.05,1.525
Sterling Moore,CB,Buccaneers,1.525,1.525
Donovan Smith,RT,Buccaneers,6.069,1.517
Jon Ryan,P,Seahawks,9.1,1.517
Nate Chandler,LT,Panthers,4.55,1.517
Mario Edwards,43DE,Raiders,6.017,1.504
David Bruton,S,Broncos,4.5,1.5
Demar Dotson,RT,Buccaneers,4.5,1.5
William Gay,CB,Steelers,4.5,1.5
Allen Barbre,RT,Eagles,4.5,1.5
Kellen Clemens,QB,Chargers,3,1.5
Marshall Newhouse,LT,Giants,3,1.5
Dawan Landry,S,Jets,3,1.5
Brett Keisel,34DE,Steelers,3,1.5
Darren McFadden,RB,Cowboys,3,1.5
Paul McQuistan,LG,,3,1.5
Clay Harbor,TE,Jaguars,3,1.5
Andrew Quarless,TE,Packers,3,1.5
Ryan Mundy,S,Bears,3,1.5
Major Wright,S,Buccaneers,3,1.5
Bradley Fletcher,CB,Patriots,1.5,1.5
DJ Williams,ILB,Bears,1.5,1.5
Colt McCoy,QB,Redskins,1.5,1.5
Kevin Williams,43DT,Saints,1.5,1.5
Mike DeVito,34DE,Chiefs,1.5,1.5
Khalif Barnes,RT,Raiders,1.5,1.5
Byron Bell,RT,Titans,1.5,1.5
Dominic Raiola,C,Lions,1.5,1.5
Jason Campbell,QB,Bengals,1.5,1.5
Isa Abdul Quddus,S,Lions,1.5,1.5
Tony McDaniel,43DT,Buccaneers,1.5,1.5
Tarell Brown,CB,Patriots,1.5,1.5
Chris Conte,S,Buccaneers,1.5,1.5
Tarvaris Jackson,QB,Seahawks,1.5,1.5
Patrick DiMarco,FB,Falcons,1.495,1.495
TJ Yeldon,RB,Jaguars,5.914,1.478
Devin Smith,WR,Jets,5.872,1.468
Taiwan Jones,RB,Raiders,4.355,1.452
Richie Incognito,RG,Bills,1.45,1.45
Preston Smith,34OLB,Redskins,5.779,1.445
Trumaine McBride,CB,Giants,2.875,1.438
Brad Jones,ILB,Eagles,2.85,1.425
Eddie Goldman,34DT,Bears,5.686,1.422
Dorial Green-Beckham,WR,Titans,5.604,1.401
Andrew Gardner,RG,Eagles,4.2,1.4
Kurt Coleman,S,Panthers,2.8,1.4
Lyle Sendlein,C,Cardinals,1.4,1.4
Xavier Su\’a-Filo,G,Texans,5.552,1.388
Devin Funchess,WR,Panthers,5.521,1.38
Demarcus Lawrence,43DE,Cowboys,5.507,1.377
James Harrison,34OLB,Steelers,2.75,1.375
Jonathan Cyprien,S,Jaguars,5.469,1.367
Tim Masthay,P,Packers,5.465,1.366
Joel Bitonio,LG,Browns,5.462,1.365
Jalen Collins,CB,Falcons,5.428,1.357
Justin Hunter,WR,Titans,5.424,1.356
Chris Maragos,S,Eagles,4.05,1.35
Andre Caldwell,WR,Broncos,2.7,1.35
Kelvin Sheppard,ILB,Dolphins,1.35,1.35
Brian Quick,WR,Rams,5.387,1.347
Zach Ertz,TE,Eagles,5.379,1.345
Derek Carr,QB,Raiders,5.372,1.343
Benardrick McKinney,34OLB,Texans,5.345,1.336
Josh Gordon,WR,Browns,5.342,1.335
Coby Fleener,TE,Colts,5.342,1.335
Ra\’Shede Hageman,43DT,Falcons,5.336,1.334
Logan Paulsen,TE,Redskins,4,1.333
Chris Jones,P,Cowboys,2.658,1.329
Courtney Upshaw,34OLB,Ravens,5.297,1.324
Darrel Young,FB,Redskins,3.97,1.323
Darius Slay,CB,Lions,5.289,1.322
Hau’oli Kikaha,34OLB,Saints,5.266,1.317
Austin Seferian-Jenkins,TE,Buccaneers,5.255,1.314
Giovani Bernard,RB,Bengals,5.253,1.313
Kevin Boothe,RG,Raiders,2.625,1.313
Derek Wolfe,34DE,Broncos,5.207,1.302
Ted Larsen,LG,Cardinals,2.6,1.3
Mark Herzlich,ILB,Giants,2.6,1.3
Marqise Lee,WR,Jaguars,5.174,1.294
Manti Te’o,ILB,Chargers,5.172,1.293
Mitchell Schwartz,RT,Browns,5.171,1.293
Eric Kendricks,ILB,Vikings,5.156,1.289
Mario Addison,LB,Panthers,2.56,1.28
Kyle Van Noy,43OLB,Lions,5.102,1.276
Andre Branch,43DE,Jaguars,5.09,1.272
Craig Stevens,TE,Titans,1.27,1.27
Jaquiski Tartt,S,49ers,5.037,1.259
Lamarcus Joyner,CB,Rams,5.03,1.258
Geno Smith,QB,Jets,5.02,1.255
Gary Barnidge,TE,Browns,3.75,1.25
Jason Fox,LT,Dolphins,2.5,1.25
Jeron Johnson,S,Redskins,2.5,1.25
Josh Brown,K,Giants,2.5,1.25
James Casey,FB,Broncos,1.25,1.25
Stevan Ridley,RB,Jets,1.25,1.25
Janoris Jenkins,CB,Rams,4.99,1.248
Jordan Matthews,WR,Eagles,4.949,1.237
Tank Carradine,34DE,49ers,4.948,1.237
Amini Silatolu,LG,Panthers,4.937,1.234
Eric Rowe,CB,Eagles,4.88,1.22
Weston Richburg,C,Giants,4.877,1.219
Robert Woods,WR,Bills,4.867,1.217
Cordy Glenn,LT,Bills,4.865,1.216
Cyrus Kouandjio,RT,Bills,4.809,1.202
Rashad Johnson,S,Cardinals,3.6,1.2
Michael Hoomanawanui,TE,Patriots,2.4,1.2
Derek Carrier,TE,Redskins,2.4,1.2
Tyson Clabo,RT,Texans,2.4,1.2
Dane Sanzenbacher,WR,Bengals,1.2,1.2
Scott Tolzien,QB,Packers,1.2,1.2
Leger Douzable,34DE,Jets,1.2,1.2
George Selvie,43DE,Giants,1.2,1.2
Menelik Watson,LT,Raiders,4.795,1.199
Denzel Perryman,ILB,Chargers,4.776,1.194
Johnthan Banks,CB,Buccaneers,4.726,1.182
Paul Richardson,WR,Seahawks,4.713,1.178
Usama Young,S,Raiders,2.35,1.175
Mitch Morse,C,Chiefs,4.673,1.168
Anthony Dixon,RB,Bills,3.5,1.167
Jeff Allen,LG,Chiefs,4.644,1.161
Cody Wallace,C,Steelers,3.48,1.16
Brandon Bolden,RB,Patriots,2.32,1.16
Kawann Short,43DT,Panthers,4.63,1.158
Stephon Tuitt,34DE,Steelers,4.609,1.152
John Denney,LS,Dolphins,3.45,1.15
Beau Brinkley,LS,Titans,5.75,1.15
Zak DeOssie,LS,Giants,3.45,1.15
Lawrence Guy,43DE,Ravens,2.3,1.15
Brad Smith,WR,Eagles,1.15,1.15
Ronald Darby,CB,Bills,4.57,1.142
Eric Weems,WR,Falcons,2.28,1.14
Husain Abdullah,S,Chiefs,2.275,1.138
Alshon Jeffery,WR,Bears,4.548,1.137
Heath Farwell,ILB,Seahawks,4.5,1.125
Jimmy Clausen,QB,Bears,1.125,1.125
Trent Murphy,34OLB,Redskins,4.473,1.118
Mike Person,LG,Falcons,3.35,1.117
Tyrod Taylor,QB,Bills,3.35,1.117
Garrison Sanborn,LS,Bills,3.33,1.11
Garrett Reynolds,RT,Rams,2.2,1.1
LP Ladouceur,LS,Cowboys,5.5,1.1
Kedric Golston,34DT,Redskins,3.3,1.1
Marcus Sherels,CB,Vikings,2.2,1.1
Albert McClellan,34OLB,Ravens,2.2,1.1
Anthony Levine,S,Ravens,2.2,1.1
Jarius Wynn,43DE,Bills,2.2,1.1
Matt Spaeth,TE,Steelers,2.2,1.1
Kevin Minter,ILB,Cardinals,4.39,1.098
Timmy Jernigan,34DE,Ravens,4.383,1.096
Joseph Barksdale,RT,Chargers,1.095,1.095
Jordan Phillips,43DT,Dolphins,4.363,1.091
Joe Berger,C,Vikings,2.155,1.078
Kiko Alonso,ILB,Eagles,4.3,1.075
Jace Amaro,TE,Jets,4.293,1.073
Jon Condo,LS,Raiders,3.2,1.067
Cedric Peerman,RB,Bengals,2.13,1.065
Jake Fisher,RT,Bengals,4.26,1.065
Jon Dorenbos,LS,Eagles,4.25,1.063
Tavon Wilson,S,Patriots,4.218,1.054
Gavin Escobar,TE,Cowboys,4.21,1.053
Jeremiah Attaochu,34OLB,Chargers,4.203,1.051
Colin Cole,43DT,Panthers,1.05,1.05
Mike Leach,LS,Cardinals,1.05,1.05
CJ Mosley,43DT,Dolphins,1.05,1.05
Lance Moore,WR,Lions,1.05,1.05
Don Muhlbach,LS,Lions,1.05,1.05
Luke McCown,QB,Saints,1.05,1.05
Greg Warren,LS,Steelers,1.05,1.05
Dan Orlovsky,QB,Lions,1.05,1.05
Will Allen,S,Steelers,1.05,1.05
Don Carey,CB,Lions,3.135,1.045
Ramon Humber,ILB,Saints,2.085,1.043
Ameer Abdullah,RB,Lions,4.156,1.039
Darrin Walls,CB,Jets,2.075,1.038
Kendall Reyes,34DE,Chargers,4.128,1.032
Le’Veon Bell,RB,Steelers,4.121,1.03
Ego Ferguson,43DT,Bears,4.113,1.028
Chase Blackburn,43OLB,Panthers,2.05,1.025
Ryan Clark,S,Redskins,1.02,1.02
Jonathan Goodwin,C,Saints,1.02,1.02
Santana Moss,WR,Redskins,1.02,1.02
Terrell McClain,43DT,Cowboys,3.05,1.017
Maxx Williams,TE,Ravens,4.053,1.013
Aaron Brewer,LS,Broncos,4.05,1.013
Lance Louis,RG,Colts,2.025,1.013
Johnathan Hankins,43DT,Giants,4.031,1.008
Troy Niklas,TE,Cardinals,4.023,1.006
Brandon Lloyd,WR,49ers,1.005,1.005
Senquez Golson,CB,Steelers,4.001,1
Nick Sundberg,LS,Redskins,4,1
Matt Overton,LS,Colts,4,1
Adam Hayward,LB,Redskins,3,1
Geno Hayes,43OLB,Jaguars,2,1
Andrew Sendejo,S,Vikings,2,1
Michael Morgan,43OLB,Seahawks,1,1
Nate Washington,WR,Texans,1,1
Jonathan Freeny,LB,Patriots,1,1
Leonard Johnson,CB,Buccaneers,1,1
Rob Havenstein,RT,Rams,3.97,0.993
Clark Harris,LS,Bengals,4.95,0.99
Jon Bostic,ILB,Bears,3.941,0.985
Davante Adams,WR,Packers,3.933,0.983
Shayne Graham,K,Saints,0.98,0.98
Markus Golden,34OLB,Cardinals,3.918,0.98
Jon Weeks,LS,Texans,3.9,0.975
Michael Vick,QB,Steelers,0.97,0.97
Zach Brown,43OLB,Titans,3.858,0.965
David Amerson,CB,Redskins,3.851,0.963
Ty Sambrailo,RT,Broncos,3.846,0.961
Bishop Sankey,RB,Titans,3.843,0.961
Larry Foote,ILB,,0.955,0.955
Ryan Pickett,34DT,Texans,0.955,0.955
Kassim Osgood,WR,49ers,0.955,0.955
Tommy Kelly,34DE,Cardinals,0.955,0.955
Jay Feely,K,Bears,0.955,0.955
Randy Gregory,34OLB,Cowboys,3.815,0.954
Marlon Moore,WR,Browns,2.85,0.95
Will Yeatman,T,Texans,1.9,0.95
Mitch Unrein,43DT,Chargers,1.9,0.95
Daniel Fells,TE,Giants,0.95,0.95
Stephen Bowen,34DE,Jets,0.95,0.95
Pat Sims,43DT,Bengals,0.95,0.95
Lamarr Woodley,34OLB,Cardinals,0.95,0.95
Kevin Vickerson,34DE,Jets,0.95,0.95
Thomas Gafford,LS,Bears,0.95,0.95
Dwight Lowery,S,Colts,0.95,0.95
Willie Colon,RG,Jets,0.95,0.95
Josh Wilson,CB,Lions,0.95,0.95
Darryl Tapp,43DE,Lions,0.95,0.95
Kellen Davis,TE,Jets,0.95,0.95
Will Montgomery,C,Bears,0.95,0.95
Eric Winston,RT,Bengals,0.95,0.95
Anthony Spencer,34OLB,Saints,0.95,0.95
Jason Avant,WR,Chiefs,0.95,0.95
Ali Marpet,RG,Buccaneers,3.774,0.943
Jamie Collins,43OLB,Patriots,3.761,0.94
Jeremy Hill,RB,Bengals,3.754,0.938
Quinten Rollins,S,Packers,3.743,0.936
Frank Clark,43DE,Seahawks,3.732,0.933
Todd Davis,ILB,Broncos,0.93,0.93
David King,43DE,Seahawks,0.93,0.93
Josh Mauro,34DE,Cardinals,0.93,0.93
Jordan Richards,S,Patriots,3.712,0.928
Cody Latimer,WR,Broncos,3.709,0.927
Colt Anderson,S,Colts,0.925,0.925
Larry English,43DE,Buccaneers,0.925,0.925
Carlos Hyde,RB,49ers,3.682,0.92
Ricardo Mathews,34DE,Chargers,0.92,0.92
Chris Spencer,C,Titans,0.92,0.92
Ryan Harris,LT,Broncos,0.92,0.92
Leon Washington,RB,Titans,0.92,0.92
Margus Hunt,43DE,Bengals,3.671,0.918
Jamar Taylor,CB,Dolphins,3.626,0.907
Brett Goode,LS,Packers,2.715,0.905
Josh Bynes,ILB,Lions,1.81,0.905
Tanner Purdum,LS,Jets,1.81,0.905
Clint Gresham,LS,Seahawks,2.705,0.902
Jeffrey Jansen,LS,Panthers,3.605,0.901
Kavell Conner,ILB,Chargers,2.7,0.9
Tim Jamison,DE,Texans,1.8,0.9
Teddy Williams,CB,Panthers,1.8,0.9
Peyton Hillis,RB,Giants,1.8,0.9
Fred Jackson,RB,Seahawks,0.9,0.9
Vance McDonald,TE,49ers,3.599,0.9
Bryan Braman,34OLB,Eagles,1.795,0.898
John Kuhn,FB,Packers,0.895,0.895
Jack Mewhort,LG,Colts,3.574,0.893
Arthur Brown,34OLB,Ravens,3.554,0.889
Kony Ealy,43DE,Panthers,3.547,0.887
Mike Adams,RT,Steelers,3.544,0.886
Brock Osweiler,QB,Broncos,3.517,0.879
Allen Robinson,WR,Jaguars,3.511,0.878
Josh Harris,LS,Falcons,3.505,0.876
DJ Swearinger,S,Buccaneers,3.491,0.873
Jimmy Garoppolo,QB,Patriots,3.484,0.871
Kyle Nelson,LS,49ers,3.48,0.87
Tracy Porter,CB,Bears,0.87,0.87
Lorenzo Alexander,43OLB,Raiders,0.87,0.87
Kendall Hunter,RB,49ers,0.87,0.87
Desmond Bishop,ILB,49ers,0.87,0.87
Garrett Hartley,K,Steelers,0.87,0.87
Tim Jennings,CB,Buccaneers,0.87,0.87
Andre Fluellen,43DT,Bills,0.87,0.87
Tyler Polumbus,RT,Falcons,0.87,0.87
Will Blackmon,CB,Redskins,0.87,0.87
Mike McGlynn,LG,Saints,0.87,0.87
Quintin Demps,S,Texans,0.87,0.87
Brandon Meriweather,S,Giants,0.87,0.87
Chris Johnson,RB,Cardinals,0.87,0.87
Craig Dahl,S,Giants,0.87,0.87
James Jones,WR,Packers,0.87,0.87
Jarvis Landry,WR,Dolphins,3.475,0.869
Jerome Simpson,WR,49ers,1.73,0.865
LeGarrette Blount,RB,Patriots,1.73,0.865
Justin Britt,RT,Seahawks,3.547,0.864
Jake McQuaide,LS,Rams,3.445,0.861
Travaris Cadet,RB,Patriots,1.715,0.858
Aaron Dobson,WR,Patriots,3.428,0.857
Mat McBriar,P,Chargers,0.955,0.855
Jim Leonhard,S,Browns,0.855,0.855
Danieal Manning,S,Texans,0.855,0.855
Jonathan Scott,RT,Falcons,0.855,0.855
Robert Meachem,WR,Saints,0.855,0.855
Derek Hagan,WR,Titans,0.855,0.855
Ronnie Brown,RB,Chargers,0.855,0.855
Will Herring,ILB,Rams,0.855,0.855
Jeremy Cain,LS,Bears,0.855,0.855
Adam Snyder,RG,Giants,0.855,0.855
Raymond Ventrone,S,49ers,0.855,0.855
Jackie Battle,FB,Titans,0.855,0.855
Montell Owens,FB,Bears,0.855,0.855
Ahmad Bradshaw,RB,Colts,0.855,0.855
Will Svitek,RT,Titans,0.855,0.855
James Anderson,43OLB,Cowboys,0.855,0.855
Robert Alford,CB,Falcons,3.401,0.85
Garrett Grayson,QB,Saints,3.401,0.85
Trevor Robinson,C,Chargers,1.7,0.85
David Johnson,TE,Chargers,1.7,0.85
Gabe Carimi,RG,Falcons,0.85,0.85
Eddie Lacy,RB,Packers,3.394,0.849
Jeremiah Poutasi,RT,Titans,3.386,0.846
Justin Drescher,LS,Saints,3.385,0.846
Vinny Curry,DE,Eagles,3.382,0.845
Nick Bellore,ILB,49ers,1.69,0.845
Christine Michael,RB,Cowboys,3.374,0.844
AJ Cann,LG,Jaguars,3.373,0.843
Christian Yount,LS,Browns,4.21,0.842
Mike Windt,LS,Chargers,3.365,0.841
Kelechi Osemele,LG,Ravens,3.346,0.836
Clive Walford,TE,Raiders,3.345,0.836
Tyler Lockett,WR,Seahawks,3.319,0.83
Colin Jones,S,Panthers,1.855,0.828
Casey Hayward,CB,Packers,3.31,0.827
Darrius Heyward-Bey,WR,Steelers,0.825,0.825
Jamarca Sanford,S,Saints,0.825,0.825
Brandon Tate,WR,Bengals,0.825,0.825
Joe Webb,QB,Panthers,0.825,0.825
Jamari Lattimore,ILB,Jets,0.825,0.825
Chris Scott,RG,Panthers,0.825,0.825
Jarvis Jenkins,43DT,Bears,0.825,0.825
Mike Jenkins,CB,Buccaneers,0.825,0.825
Vladimir Ducasse,RG,Bears,0.825,0.825
Kevin Ogletree,WR,,0.825,0.825
Kyle Wilson,CB,Saints,0.825,0.825
Seyi Ajirotutu,WR,Eagles,0.825,0.825
Dane Fletcher,ILB,Patriots,0.825,0.825
Sherrick McManis,CB,Bears,0.825,0.825
Clifton Geathers,34DE,Steelers,0.825,0.825
Brandon Gibson,WR,Patriots,0.825,0.825
Casey Matthews,ILB,Vikings,0.825,0.825
Morgan Cox,LS,Ravens,0.825,0.825
Corey Wootton,43DE,Lions,0.825,0.825
Alex Carrington,43DT,Bills,0.825,0.825
Danny McCray,S,Cowboys,0.825,0.825
Demarcus Dobbs,TE,Seahawks,0.825,0.825
Zack Bowman,CB,Dolphins,0.825,0.825
Nick Hayden,43DT,Cowboys,0.825,0.825
Will Tukuafu,FB,Seahawks,0.825,0.825
Rueben Randle,WR,Giants,3.292,0.823
Jaelen Strong,WR,Texans,3.281,0.82
Hroniss Grasu,C,Bears,3.529,0.815
Jamon Brown,T,Rams,3.251,0.813
Sean Mannion,QB,Rams,3.251,0.813
Frank Zombo,34OLB,Chiefs,1.625,0.813
Richie Brockel,RB,Panthers,1.61,0.805
Tevin Coleman,RB,Falcons,3.219,0.805
Amobi Okoye,43DT,Cowboys,1.6,0.8
Matt Asiata,RB,Vikings,0.8,0.8
CJ Fiedorowicz,TE,Texans,3.195,0.799
Brian De la Puente,C,Bears,0.795,0.795
Mike Patterson,43DT,Giants,0.795,0.795
Jonathan Dwyer,RB,Cardinals,0.795,0.795
Jeff Linkenbach,LG,Dolphins,0.795,0.795
Oniel Cousins,LT,Buccaneers,0.795,0.795
Rich Ohrnberger,C,Chargers,0.795,0.795
Morgan Moses,RT,Redskins,3.173,0.793
Owamagbe Odighizuwa,43DE,Giants,3.161,0.79
Dennis Kelly,RT,Eagles,0.79,0.79
Sam Young,RT,Jaguars,1.575,0.788
Billy Turner,T,Dolphins,3.147,0.787
AQ Shipley,C,Cardinals,1.57,0.785
Jacquizz Rodgers,RB,Bears,0.785,0.785
Steven Johnson,ILB,Titans,0.785,0.785
Travis Kelce,TE,Chiefs,3.126,0.782
Dezmen Southward,S,Falcons,3.125,0.781
Chris Conley,WR,Chiefs,3.124,0.781
Garry Williams,RG,Panthers,0.78,0.78
Mike Glennon,QB,Buccaneers,3.104,0.776
Charles Sims,RB,Buccaneers,3.103,0.776
Dwayne Gratz,CB,Jaguars,3.101,0.775
Dwayne Allen,TE,Colts,3.08,0.77
Chris Ogbonnaya,RB,Giants,0.77,0.77
Duke Johnson,RB,Browns,3.075,0.769
Larry Warford,G,Lions,3.075,0.769
Eli Harold,34OLB,49ers,3.071,0.768
Marcus Martin,C,49ers,3.069,0.767
PJ Williams,CB,Saints,3.061,0.765
Alex Carter,CB,Lions,3.059,0.765
Sio Moore,43OLB,Colts,3.054,0.764
Tyrann Mathieu,S,Cardinals,3.053,0.763
Trumaine Johnson,CB,Rams,3.041,0.76
Christian Kirksey,ILB,Browns,3.04,0.76
Bradley Sowell,RT,Cardinals,0.76,0.76
Chris Polk,RB,Texans,0.76,0.76
Ben Ijalana,LT,Jets,0.76,0.76
Bennie Logan,34DT,Eagles,3.032,0.758
Scott Crichton,43DE,Vikings,3.021,0.755
Josh Robinson,CB,Vikings,3.015,0.754
Lorenzo Mauldin,34OLB,Jets,3.008,0.752
Preston Brown,ILB,Bills,3.006,0.751
Jay Bromley,43DT,Giants,3.004,0.751
Ronnie Hillman,RB,Broncos,3.001,0.75
Christo Bilukidi,43DE,Ravens,1.5,0.75
Jah Reid,RT,Chiefs,0.75,0.75
Craig Mager,CB,Chargers,2.995,0.749
Jordan Hicks,ILB,Eagles,2.993,0.748
Antonio Allen,S,Jets,2.982,0.746
Tre Mason,RB,Rams,2.981,0.745
Erin Henderson,ILB,Jets,0.745,0.745
Jacques McClendon,LG,Dolphins,0.745,0.745
Tyronne Green,G,Panthers,0.745,0.745
Jordan Todman,RB,Steelers,0.745,0.745
Phillip Adams,CB,Falcons,0.745,0.745
Taylor Mays,S,Raiders,0.745,0.745
Derek Cox,CB,Patriots,0.745,0.745
Chase Coffman,TE,Titans,0.745,0.745
Junior Galette,34OLB,Redskins,0.745,0.745
Matthew Mulligan,TE,Titans,0.745,0.745
Jasper Brinkley,ILB,Giants,0.745,0.745
Chimdi Chekwa,CB,Raiders,0.745,0.745
Christopher Owens,CB,Lions,0.745,0.745
Justin Rogers,CB,Redskins,0.745,0.745
Brandon Harris,CB,Titans,0.745,0.745
Josh Gordy,CB,Giants,0.745,0.745
Doug Legursky,C,Steelers,0.745,0.745
David Nelson,WR,Steelers,0.745,0.745
John Phillips,TE,Chargers,0.745,0.745
Kyle Williams,WR,Broncos,0.745,0.745
Greg Little,WR,Bengals,0.745,0.745
J’Marcus Webb,LT,Raiders,0.745,0.745
Austin Spitler,43OLB,Redskins,0.745,0.745
Vaughn Martin,34DE,,0.745,0.745
Spencer Paysinger,43OLB,Dolphins,0.745,0.745
Sam Acho,ILB,Bears,0.745,0.745
Charles Brown,LT,Cowboys,0.745,0.745
Tyler Clutts,FB,Cowboys,0.745,0.745
EJ Biggers,CB,Eagles,0.745,0.745
Tyler Kroft,TE,Bengals,2.971,0.743
Danielle Hunter,43DE,Vikings,2.97,0.742
John Miller,LG,Bills,2.96,0.74
