Year,County,Strata,Strata_name,Population,Births,ABR,Lower_,Upper_
2014-2016,Santa Cruz,Age 15-19,AIAN,85,S,S,S,S
2014-2016,Shasta,Age 15-19,All,16714,362,21.7,19.5,23.9
2014-2016,Shasta,Age 15-19,White,12075,257,21.3,18.7,23.9
2014-2016,Shasta,Age 15-17,All,9952,S,S,S,S
2014-2016,Shasta,Age 18-19,All,6762,295,43.6,38.6,48.6
2014-2016,Shasta,Age 15-19,Hispanic,2385,S,S,S,S
2014-2016,Shasta,Age 15-19,MultRace,1064,S,S,S,S
2014-2016,Shasta,Age 15-19,AIAN,495,S,S,S,S
2014-2016,Shasta,Age 15-19,AsianPI,494,S,S,S,S
2014-2016,Shasta,Age 15-19,Black,201,S,S,S,S
2014-2016,Sierra,Age 15-19,All,207,S,S,S,S
2014-2016,Sierra,Age 15-19,White,185,S,S,S,S
2014-2016,Sierra,Age 15-17,All,124,0,0,0,0
2014-2016,Sierra,Age 18-19,All,83,S,S,S,S
2014-2016,Sierra,Age 15-19,Hispanic,22,S,S,S,S
2014-2016,Sierra,Age 15-19,AIAN,0,0,0,0,0
2014-2016,Sierra,Age 15-19,AsianPI,0,0,0,0,0
2014-2016,Sierra,Age 15-19,Black,0,0,0,0,0
2014-2016,Sierra,Age 15-19,MultRace,0,0,0,0,0
2014-2016,Siskiyou,Age 15-19,All,3978,S,S,S,S
2014-2016,Siskiyou,Age 15-19,White,2717,S,S,S,S
2014-2016,Siskiyou,Age 15-17,All,2421,S,S,S,S
2014-2016,Siskiyou,Age 18-19,All,1557,S,S,S,S
2014-2016,Siskiyou,Age 15-19,Hispanic,704,S,S,S,S
2014-2016,Siskiyou,Age 15-19,MultRace,282,S,S,S,S
2014-2016,Siskiyou,Age 15-19,AIAN,173,S,S,S,S
2014-2016,Siskiyou,Age 15-19,AsianPI,53,0,0,0,0
2014-2016,Siskiyou,Age 15-19,Black,49,S,S,S,S
2014-2016,Solano,Age 15-19,All,44831,671,15,13.9,16.1
2014-2016,Solano,Age 15-17,All,27114,162,6,5.1,6.9
2014-2016,Solano,Age 18-19,All,17717,509,28.7,26.2,31.2
2014-2016,Solano,Age 15-19,Hispanic,15824,355,22.4,20.1,24.7
2014-2016,Solano,Age 15-19,White,11952,100,8.4,6.8,10
2014-2016,Solano,Age 15-19,Black,6969,105,15.1,12.2,18
2014-2016,Solano,Age 15-19,AsianPI,5955,S,S,S,S
2014-2016,Solano,Age 15-19,MultRace,4027,S,S,S,S
2014-2016,Solano,Age 15-19,AIAN,104,0,0,0,0
2014-2016,Sonoma,Age 15-19,All,48925,528,10.8,9.9,11.7
2014-2016,Sonoma,Age 15-17,All,27960,143,5.1,4.3,5.9
2014-2016,Sonoma,Age 15-19,White,25685,86,3.3,2.6,4.1
2014-2016,Sonoma,Age 18-19,All,20965,385,18.4,16.6,20.2
2014-2016,Sonoma,Age 15-19,Hispanic,17532,378,21.6,19.4,23.8
2014-2016,Sonoma,Age 15-19,AsianPI,2329,S,S,S,S
2014-2016,Sonoma,Age 15-19,MultRace,2223,S,S,S,S
2014-2016,Sonoma,Age 15-19,Black,799,S,S,S,S
2014-2016,Sonoma,Age 15-19,AIAN,357,S,S,S,S
2014-2016,Stanislaus,Age 15-19,All,63697,1603,25.2,24,26.4
2014-2016,Stanislaus,Age 15-17,All,35943,406,11.3,10.2,12.4
2014-2016,Stanislaus,Age 15-19,Hispanic,35739,1104,30.9,29.1,32.7
2014-2016,Stanislaus,Age 18-19,All,27754,1197,43.1,40.7,45.5
2014-2016,Stanislaus,Age 15-19,White,20313,343,16.9,15.1,18.7
2014-2016,Stanislaus,Age 15-19,AsianPI,3439,S,S,S,S
2014-2016,Stanislaus,Age 15-19,MultRace,2164,S,S,S,S
2014-2016,Stanislaus,Age 15-19,Black,1783,S,S,S,S
2014-2016,Stanislaus,Age 15-19,AIAN,259,S,S,S,S
2014-2016,Sutter,Age 15-19,All,10649,220,20.7,18,23.4
2014-2016,Sutter,Age 15-17,All,6481,S,S,S,S
2014-2016,Sutter,Age 15-19,White,4445,S,S,S,S
2014-2016,Sutter,Age 18-19,All,4168,S,S,S,S
2014-2016,Sutter,Age 15-19,Hispanic,4056,S,S,S,S
2014-2016,Sutter,Age 15-19,AsianPI,1383,S,S,S,S
2014-2016,Sutter,Age 15-19,MultRace,504,S,S,S,S
2014-2016,Sutter,Age 15-19,Black,178,0,0,0,0
2014-2016,Sutter,Age 15-19,AIAN,83,S,S,S,S
2014-2016,Tehama,Age 15-19,All,6500,193,29.7,25.5,33.9
2014-2016,Tehama,Age 15-19,White,3872,S,S,S,S
2014-2016,Tehama,Age 15-17,All,3832,S,S,S,S
2014-2016,Tehama,Age 18-19,All,2668,S,S,S,S
2014-2016,Tehama,Age 15-19,Hispanic,2176,S,S,S,S
2014-2016,Tehama,Age 15-19,MultRace,235,S,S,S,S
2014-2016,Tehama,Age 15-19,AIAN,98,S,S,S,S
2014-2016,Tehama,Age 15-19,AsianPI,72,0,0,0,0
2014-2016,Tehama,Age 15-19,Black,47,S,S,S,S
2014-2016,Trinity,Age 15-19,All,1191,S,S,S,S
2014-2016,Trinity,Age 15-19,White,838,S,S,S,S
2014-2016,Trinity,Age 15-17,All,660,S,S,S,S
2014-2016,Trinity,Age 18-19,All,531,S,S,S,S
2014-2016,Trinity,Age 15-19,Hispanic,224,S,S,S,S
2014-2016,Trinity,Age 15-19,MultRace,68,S,S,S,S
2014-2016,Trinity,Age 15-19,AIAN,43,S,S,S,S
2014-2016,Trinity,Age 15-19,AsianPI,18,S,S,S,S
2014-2016,Trinity,Age 15-19,Black,0,0,0,0,0
2014-2016,Tulare,Age 15-19,All,55157,1984,36,34.4,37.6
2014-2016,Tulare,Age 15-19,Hispanic,40500,1665,41.1,39.1,43.1
2014-2016,Tulare,Age 15-17,All,34055,579,17,15.6,18.4
2014-2016,Tulare,Age 18-19,All,21102,1405,66.6,63.1,70.1
2014-2016,Tulare,Age 15-19,White,11293,227,20.1,17.5,22.7
2014-2016,Tulare,Age 15-19,AsianPI,1511,S,S,S,S
2014-2016,Tulare,Age 15-19,MultRace,825,S,S,S,S
2014-2016,Tulare,Age 15-19,Black,639,S,S,S,S
2014-2016,Tulare,Age 15-19,AIAN,389,S,S,S,S
2014-2016,Tuolumne,Age 15-19,All,4292,S,S,S,S
2014-2016,Tuolumne,Age 15-19,White,3194,S,S,S,S
2014-2016,Tuolumne,Age 15-17,All,2450,S,S,S,S
2014-2016,Tuolumne,Age 18-19,All,1842,S,S,S,S
2014-2016,Tuolumne,Age 15-19,Hispanic,721,S,S,S,S
2014-2016,Tuolumne,Age 15-19,MultRace,179,S,S,S,S
2014-2016,Tuolumne,Age 15-19,AIAN,75,S,S,S,S
2014-2016,Tuolumne,Age 15-19,Black,71,S,S,S,S
2014-2016,Tuolumne,Age 15-19,AsianPI,52,0,0,0,0
2014-2016,Ventura,Age 15-19,All,89985,1497,16.6,15.8,17.4
2014-2016,Ventura,Age 15-17,All,52811,448,8.5,7.7,9.3
2014-2016,Ventura,Age 15-19,Hispanic,45510,1289,28.3,26.8,29.8
2014-2016,Ventura,Age 18-19,All,37174,1049,28.2,26.5,29.9
2014-2016,Ventura,Age 15-19,White,34388,137,4,3.3,4.7
2014-2016,Ventura,Age 15-19,AsianPI,5303,S,S,S,S
2014-2016,Ventura,Age 15-19,MultRace,3367,23,6.8,4.3,10.2
2014-2016,Ventura,Age 15-19,Black,1229,S,S,S,S
2014-2016,Ventura,Age 15-19,AIAN,188,S,S,S,S
2014-2016,Yolo,Age 15-19,All,30778,273,8.9,7.8,10
2014-2016,Yolo,Age 18-19,All,17006,204,12,10.4,13.6
2014-2016,Yolo,Age 15-17,All,13772,S,S,S,S
2014-2016,Yolo,Age 15-19,White,12620,S,S,S,S
2014-2016,Yolo,Age 15-19,Hispanic,11014,190,17.3,14.8,19.8
2014-2016,Yolo,Age 15-19,AsianPI,4772,S,S,S,S
2014-2016,Yolo,Age 15-19,MultRace,1563,S,S,S,S
2014-2016,Yolo,Age 15-19,Black,710,S,S,S,S
2014-2016,Yolo,Age 15-19,AIAN,99,S,S,S,S
2014-2016,Yuba,Age 15-19,All,8125,234,28.8,25.1,32.5
2014-2016,Yuba,Age 15-17,All,4821,S,S,S,S
2014-2016,Yuba,Age 15-19,White,3681,S,S,S,S
2014-2016,Yuba,Age 18-19,All,3304,S,S,S,S
2014-2016,Yuba,Age 15-19,Hispanic,3072,S,S,S,S
2014-2016,Yuba,Age 15-19,AsianPI,548,S,S,S,S
2014-2016,Yuba,Age 15-19,MultRace,493,S,S,S,S
2014-2016,Yuba,Age 15-19,Black,218,S,S,S,S
2014-2016,Yuba,Age 15-19,AIAN,113,S,S,S,S
