id	gender	bdate	educ	jobcat	salary	salbegin	jobtime	prevexp	minority	jobcat_name
438	m	10/11/1964	15	1	32400	15000	66	64	0	Clerical
439	f	6/25/1970	12	1	20400	11250	66	0	0	Clerical
440	f	11/10/1947	8	1	24150	12750	66	96	0	Clerical
441	f	8/2/1949	15	1	23850	13500	66	122	0	Clerical
442	f	9/18/1968	12	1	29700	13500	66	26	0	Clerical
443	f	2/10/1929	8	1	21600	13500	66	228	0	Clerical
444	f	9/16/1961	12	1	24450	15750	66	87	0	Clerical
445	m	8/4/1963	15	1	28050	16500	66	84	1	Clerical
446	m	8/3/1958	16	3	100000	44100	66	128	1	Manager
447	m	7/2/1961	15	1	49000	20550	66	86	1	Clerical
448	f	6/5/1933	12	1	16350	10200	66	163	1	Clerical
449	m	1/2/1966	16	3	70000	21750	65	19	0	Manager
450	m	7/21/1954	19	3	55000	34980	65	129	0	Manager
451	m	7/19/1969	15	1	28500	14250	65	20	0	Clerical
452	m	8/13/1953	12	1	28800	18000	65	210	0	Clerical
453	m	8/7/1930	15	1	24450	15750	65	338	0	Clerical
454	m	7/28/1965	19	3	90625	31250	65	18	0	Manager
455	m	1/17/1964	16	3	43650	19500	65	19	0	Manager
456	m	10/17/1959	19	3	75000	42510	65	54	0	Manager
457	m	5/27/1968	15	1	31650	14250	65	10	0	Clerical
458	m	7/6/1965	19	3	61875	28740	65	26	0	Manager
459	f	2/10/1971	12	1	21750	11250	65	0	0	Clerical
460	f	8/12/1969	12	1	22500	12750	65	24	0	Clerical
461	f	11/8/1943	8	1	21600	13500	65	173	0	Clerical
462	f	10/18/1963	16	3	34410	19500	65	79	0	Manager
463	f	10/15/1934	15	1	20700	14250	65	241	0	Clerical
464	m	3/20/1962	19	3	47550	33000	64	27	0	Manager
465	m	7/20/1962	12	1	33900	16500	64	106	0	Clerical
466	f	6/15/1948	12	1	23400	13500	64	198	0	Clerical
467	f	8/18/1967	16	1	32850	19500	64	20	0	Clerical
468	f	11/28/1965	16	3	55750	19980	64	36	0	Manager
469	f	6/1/1964	15	1	25200	13950	64	57	0	Clerical
470	m	1/22/1964	12	1	26250	15750	64	69	1	Clerical
471	m	8/3/1966	15	1	26400	15750	64	32	1	Clerical
472	m	2/21/1966	15	1	39150	15750	63	46	0	Clerical
473	f	11/25/1937	12	1	21450	12750	63	139	0	Clerical
474	f	11/5/1968	12	1	29400	14250	63	9	0	Clerical
