DateCategoryTitle,Date,Category,Title,URL
"Sep 14, 2022InterpretabilityToy Models of Superposition","Sep 14, 2022",Interpretability,Toy Models of Superposition,https://www.anthropic.com/research/toy-models-of-superposition
"Aug 22, 2022Societal ImpactsRed Teaming Language Models to Reduce Harms: Methods, Scaling Behaviors, and Lessons Learned","Aug 22, 2022",Societal Impacts,"Red Teaming Language Models to Reduce Harms: Methods, Scaling Behaviors, and Lessons Learned",https://www.anthropic.com/research/red-teaming-language-models-to-reduce-harms-methods-scaling-behaviors-and-lessons-learned
"Jul 11, 2022AlignmentLanguage Models (Mostly) Know What They Know","Jul 11, 2022",Alignment,Language Models (Mostly) Know What They Know,https://www.anthropic.com/research/language-models-mostly-know-what-they-know
"Jun 17, 2022InterpretabilitySoftmax Linear Units","Jun 17, 2022",Interpretability,Softmax Linear Units,https://www.anthropic.com/research/softmax-linear-units
"May 21, 2022InterpretabilityScaling Laws and Interpretability of Learning from Repeated Data","May 21, 2022",Interpretability,Scaling Laws and Interpretability of Learning from Repeated Data,https://www.anthropic.com/research/scaling-laws-and-interpretability-of-learning-from-repeated-data
"Apr 12, 2022AlignmentTraining a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback","Apr 12, 2022",Alignment,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,https://www.anthropic.com/research/training-a-helpful-and-harmless-assistant-with-reinforcement-learning-from-human-feedback
"Mar 8, 2022InterpretabilityIn-context Learning and Induction Heads","Mar 8, 2022",Interpretability,In-context Learning and Induction Heads,https://www.anthropic.com/research/in-context-learning-and-induction-heads
"Feb 15, 2022Societal ImpactsPredictability and Surprise in Large Generative Models","Feb 15, 2022",Societal Impacts,Predictability and Surprise in Large Generative Models,https://www.anthropic.com/research/predictability-and-surprise-in-large-generative-models
"Dec 22, 2021InterpretabilityA Mathematical Framework for Transformer Circuits","Dec 22, 2021",Interpretability,A Mathematical Framework for Transformer Circuits,https://www.anthropic.com/research/a-mathematical-framework-for-transformer-circuits
"Dec 1, 2021AlignmentA General Language Assistant as a Laboratory for Alignment","Dec 1, 2021",Alignment,A General Language Assistant as a Laboratory for Alignment,https://www.anthropic.com/research/a-general-language-assistant-as-a-laboratory-for-alignment
