"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Trinity Hospital","Weaverville","CA","Government","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","16552","Average","Average","15093","Average","Lower","0","Unknown","Unknown"
"Fairchild Medical Center","Yreka","CA","Unknown","2","Below","Same","Above","Below","Same","Same","Below","0","Unknown","Unknown","16509","Average","Average","15028","Worse","Lower","19943","Average","Lower"
"Adventist Health Clearlake","Clearlake","CA","Church","2","Same","None","Below","Below","None","None","None","0","Unknown","Unknown","14209","Average","Lower","16698","Average","Average","0","Unknown","Unknown"
"Redwood Memorial Hospital","Fortuna","CA","Private","3","Same","None","Above","Same","Same","None","None","0","Unknown","Unknown","16150","Average","Average","13718","Average","Lower","17155","Average","Lower"
"Mercy Medical Center Mt Shasta","Mount Shasta","CA","Unknown","3","Same","None","Same","Same","Same","Same","Below","0","Unknown","Unknown","13947","Average","Lower","15619","Average","Average","17531","Average","Lower"
"Banner Lassen Medical Center","Susanville","CA","Private","4","Same","None","Above","Same","Same","None","Same","0","Unknown","Unknown","16560","Average","Average","16563","Average","Average","0","Unknown","Unknown"
"Healdsburg District Hospital","Healdsburg","CA","Government","3","Same","None","Same","Same","None","None","Same","0","Unknown","Unknown","16599","Average","Average","15906","Average","Average","20625","Average","Lower"
"Colorado River Medical Center","Needles","CA","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Northern Inyo Hospital","Bishop","CA","Government","3","Same","None","Same","Same","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","19646","Average","Average","30031","Average","Higher"
"Mendocino Coast District Hospital","Fort Bragg","CA","Government","2","Same","None","Below","Below","None","None","None","0","Unknown","Unknown","17619","Average","Average","18651","Average","Average","20299","Average","Lower"
"Plumas District Hospital","Quincy","CA","Government","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","15356","Average","Average","0","Unknown","Unknown"
"Seneca District Hospital","Chester","CA","Unknown","2","None","None","Below","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","11564","Average","Lower","0","Unknown","Unknown"
"Tahoe Forest Hospital","Truckee","CA","Government","4","None","None","Same","Above","Same","Same","Same","0","Unknown","Unknown","15626","Average","Average","14288","Average","Lower","17743","Average","Lower"
"Sutter Lakeside Hospital","Lakeport","CA","Private","4","Same","Same","Above","Above","Same","Same","Same","0","Unknown","Unknown","15794","Average","Average","17260","Average","Average","20368","Average","Average"
"Modoc Medical Center","Alturas","CA","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","15777","Average","Average","0","Unknown","Unknown"
"Santa Ynez Valley Cottage Hospital","Solvang","CA","Private","3","None","None","Same","None","Same","Same","None","0","Unknown","Unknown","15562","Average","Average","13448","Average","Lower","0","Unknown","Unknown"
"Mark Twain Medical Center","San Andreas","CA","Unknown","3","Same","Same","Above","Same","Same","Above","Same","0","Unknown","Unknown","17034","Average","Average","17672","Average","Average","20743","Average","Average"
"Ridgecrest Regional Hospital","Ridgecrest","CA","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Ojai Valley Community Hospital","Ojai","CA","Private","-1","None","None","None","Same","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","15690","Average","Average","0","Unknown","Unknown"
"Bear Valley Community Hospital","Big Bear Lake","CA","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Valley Children's Hospital","Madera","CA","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Children's Hospital & Research Center Oakland","Oakland","CA","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Children's Hosp Of Los Angeles","Los Angeles","CA","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Rady Children's Hospital - San Diego","San Diego","CA","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Children's Hospital Of Orange County","Orange","CA","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Lucile Salter Packard Children's Hsp At Stanford","Palo Alto","CA","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Children's Hospital At Mission","Mission Viejo","CA","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Healthbridge Children's Hospital - Orange","Orange","CA","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Miller Children's Hospital","Long Beach","CA","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Shriners Hospitals For Children","Los Angeles","CA","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Shriners Hospitals For Children Northern Calif","Sacramento","CA","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"North Colorado Medical Center","Greeley","CO","Private","4","Same","Same","Above","Same","Above","Same","Same","21727","Average","Lower","16621","Average","Average","17649","Average","Average","22082","Average","Average"
"Longmont United Hospital","Longmont","CO","Private","3","Same","Below","Same","Same","Same","Above","None","22218","Average","Average","16853","Average","Average","16811","Average","Average","21315","Average","Average"
"Platte Valley Medical Center","Brighton","CO","Private","4","Same","Above","Above","Same","Same","Same","Same","23897","Average","Average","16387","Average","Average","15335","Average","Lower","22498","Average","Average"
"Montrose Memorial Hospital","Montrose","CO","Private","4","Same","Above","Above","Above","Same","Above","Same","23197","Average","Average","16049","Average","Average","18137","Average","Average","20009","Average","Lower"
"San Luis Valley Health","Alamosa","CO","Private","3","Same","Same","Above","Below","Same","Same","Same","0","Unknown","Unknown","16339","Average","Average","18148","Average","Average","24075","Average","Higher"
"Lutheran Medical Center","Wheat Ridge","CO","Private","3","Same","Below","Above","Above","Same","Above","Above","23238","Average","Average","17529","Average","Average","18391","Average","Average","18134","Average","Lower"
"Poudre Valley Hospital","Fort Collins","CO","Private","5","Same","Above","Above","Above","Same","Above","Same","21221","Average","Lower","16253","Average","Average","16755","Average","Average","18166","Better","Lower"
"Denver Health Medical Center","Denver","CO","Government","3","Same","Same","Same","Below","Same","Same","Same","23283","Average","Average","16724","Average","Average","19282","Average","Average","0","Unknown","Unknown"
"Centura Health-st Mary Corwin Medical Center","Pueblo","CO","Church","3","Same","Above","Above","Below","Same","Same","Below","21605","Average","Average","16081","Average","Average","15184","Average","Lower","19660","Average","Lower"
"Mercy Regional Medical Center","Durango","CO","Church","5","Same","Above","Above","Above","Same","Same","Same","22157","Average","Average","14040","Average","Lower","18140","Average","Average","19843","Average","Lower"
"Presbyterian St Lukes Medical Center","Denver","CO","Government","3","Same","Below","Same","Above","Same","Above","Same","22538","Average","Average","18174","Average","Average","19058","Average","Average","26293","Average","Higher"
"Centura Health-st Anthony Hospital","Lakewood","CO","Church","3","Same","Below","Above","Same","Same","Same","Above","23767","Average","Average","18295","Average","Higher","17268","Average","Average","21807","Average","Average"
"Parkview Medical Center, Inc","Pueblo","CO","Private","3","Same","Below","Above","Same","Same","Below","Same","22867","Average","Average","15126","Average","Lower","16533","Average","Average","19968","Average","Lower"
"University Colo Health Memorial Hospital Central","Colorado Springs","CO","Government","4","Below","Above","Above","Same","Same","Same","Below","24159","Average","Average","16871","Average","Average","17180","Average","Average","23120","Average","Higher"
"St Marys  Medical Center","Grand Junction","CO","Church","4","Below","Above","Above","Above","Same","Same","Same","21421","Average","Lower","16772","Average","Average","16872","Average","Average","19566","Average","Lower"
"University Of Colorado Hospital Authority","Aurora","CO","Government","3","Above","Below","Below","Above","Same","Same","Same","23214","Average","Average","16701","Average","Average","17172","Better","Average","21292","Average","Average"
"Foothills Hospital","Boulder","CO","Private","3","Same","Below","Same","Same","Same","Above","Same","27525","Average","Higher","17983","Average","Average","17143","Average","Average","18662","Average","Lower"
"Saint Joseph Hospital","Denver","CO","Private","3","Same","Below","Above","Above","Same","Same","Same","0","Unknown","Unknown","17730","Average","Average","16643","Average","Average","21298","Average","Average"
"Mckee Medical Center","Loveland","CO","Private","3","Same","Below","Above","Above","Same","Same","Same","21346","Average","Average","16368","Average","Average","17361","Average","Average","19743","Average","Lower"
"Centura Health-penrose St Francis Health Services","Colorado Springs","CO","Private","5","Same","Above","Above","Same","Same","Same","Above","23428","Average","Average","15913","Average","Average","17421","Average","Average","21548","Average","Average"
"Rose Medical Center","Denver","CO","Proprietary","5","Above","Same","Above","Above","Same","Above","Above","24150","Average","Average","17680","Average","Average","17897","Better","Average","21577","Average","Average"
"Swedish Medical Center","Englewood","CO","Proprietary","4","Same","Above","Same","Same","Same","Above","Same","24791","Average","Average","16575","Average","Average","17800","Average","Average","23139","Average","Higher"
"Colorado Plains Medical Center","Fort Morgan","CO","Unknown","2","Same","Same","Below","Same","Same","Above","Same","0","Unknown","Unknown","16295","Average","Average","16942","Average","Average","21833","Average","Average"
"Uchealth Yampa Valley Medical Center","Steamboat Springs","CO","Private","4","None","Below","Above","Above","Same","Above","Same","0","Unknown","Unknown","15659","Average","Average","14170","Average","Lower","18033","Average","Lower"
"Community Hospital","Grand Junction","CO","Private","3","Same","Same","Above","Same","Same","Same","Below","0","Unknown","Unknown","14644","Average","Average","17659","Average","Average","19950","Average","Lower"
"Centura Health-porter Adventist Hospital","Denver","CO","Church","3","Same","Below","Above","Same","Same","Same","Below","24041","Average","Average","17073","Average","Average","17399","Average","Average","18271","Better","Lower"
"North Suburban Medical Center","Thornton","CO","Private","3","Same","Below","Above","Below","Same","Above","Same","24724","Average","Average","18420","Average","Average","17639","Average","Average","23072","Average","Average"
"Delta County Memorial Hospital","Delta","CO","Government","4","Same","Above","Above","Above","Same","Above","Same","0","Unknown","Unknown","14571","Average","Average","14556","Average","Lower","19812","Average","Lower"
"Valley View Hospital Association","Glenwood Springs","CO","Private","4","Same","Above","Above","Above","Same","Same","Below","24091","Average","Average","15970","Average","Average","17850","Average","Average","20807","Average","Lower"
"Sterling Regional Medcenter","Sterling","CO","Private","4","Same","None","Above","Above","Same","Above","Same","22331","Average","Average","15021","Average","Average","15773","Average","Average","21902","Average","Average"
"Vail Health Hospital","Vail","CO","Unknown","4","None","Same","Above","Above","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","20337","Average","Average","20279","Average","Lower"
"Medical Center Of Aurora, The","Aurora","CO","Proprietary","3","Same","Above","Same","Below","Same","Above","Above","23261","Average","Average","17657","Average","Average","17824","Average","Average","25827","Worse","Higher"
"Centura Health-avista Adventist Hospital","Louisville","CO","Church","3","Same","Same","Same","Above","Same","Above","Same","23132","Average","Average","18470","Average","Average","18004","Average","Average","19306","Average","Lower"
"St Anthony North Health Campus","Westminster","CO","Private","3","Same","Below","Above","Same","Same","Above","Same","23399","Average","Average","16155","Average","Average","16976","Average","Average","19414","Average","Lower"
"National Jewish Health","Denver","CO","Private","-1","None","None","None","None","Same","None","Same","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Sky Ridge Medical Center","Lone Tree","CO","Unknown","4","Same","Above","Above","Same","Same","Above","Same","24093","Average","Average","16329","Average","Average","20551","Average","Higher","20103","Average","Lower"
"Centura Health-littleton Adventist Hospital","Littleton","CO","Church","3","Same","Below","Above","Same","Same","Same","Same","23766","Average","Average","16077","Average","Average","16531","Average","Average","20523","Average","Lower"
"Parker Adventist Hospital","Parker","CO","Private","4","Same","Above","Above","Same","Same","Above","Same","22497","Average","Average","17203","Average","Average","18257","Average","Average","19515","Average","Lower"
"Good Samaritan Medical Center","Lafayette","CO","Private","4","Same","Below","Above","Above","Same","Above","Same","22557","Average","Average","15538","Average","Average","16871","Average","Average","20517","Average","Average"
"Animas Surgical Hospital, Llc","Durango","CO","Unknown","-1","None","None","None","Above","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","20866","Average","Lower"
"St Anthony Summit Medical Center","Frisco","CO","Church","4","None","Same","None","Above","Same","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","21912","Average","Average"
"Medical Center Of The Rockies","Loveland","CO","Private","5","Same","Above","Above","Above","Same","Above","Same","23445","Average","Average","16581","Average","Average","17381","Average","Average","19424","Average","Lower"
"Orthocolorado Hospital At St Anthony Med Campus","Lakewood","CO","Proprietary","-1","None","None","None","Above","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","19672","Average","Lower"
"Castle Rock Adventist Hospital","Castle Rock","CO","Private","4","Same","Below","Above","Above","Same","Same","Same","24367","Average","Average","16912","Average","Average","16130","Average","Average","23293","Average","Average"
"Banner Fort Collins Medical Center","Fort Collins","CO","Unknown","4","None","None","Same","Above","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Scl Health Community Hospital- Northglenn","Northglenn","CO","Proprietary","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Longs Peak Hospital","Longmont","CO","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Uchealth Broomfield Hospital Llc","Broomfield","CO","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Uchealth Grandview Hospital","Colorado Springs","CO","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Weisbrod Memorial County Hospital","Eads","CO","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Rio Grande Hospital","Del Norte","CO","Private","4","Same","None","Above","None","None","Above","None","0","Unknown","Unknown","15655","Average","Average","16263","Average","Average","0","Unknown","Unknown"
"Colorado Canyons Hospital And Medical Center","Fruita","CO","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"East Morgan County Hospital","Brush","CO","Government","3","Same","None","Above","None","None","None","Same","0","Unknown","Unknown","17961","Average","Average","17212","Average","Average","0","Unknown","Unknown"
"Haxtun Hospital District","Haxtun","CO","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Melissa Memorial Hospital","Holyoke","CO","Government","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Lincoln Community Hospital","Hugo","CO","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","12683","Average","Lower","0","Unknown","Unknown"
"Rangely District Hospital","Rangely","CO","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"San Luis Valley Health Conejos County Hospital","La Jara","CO","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","20133","Average","Average","0","Unknown","Unknown"
"Wray Community District Hospital","Wray","CO","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","17272","Average","Average","0","Unknown","Unknown"
"Sedgwick County Memorial Hospital","Julesburg","CO","Government","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","14051","Average","Lower","0","Unknown","Unknown"
"Southeast Colorado Hospital","Springfield","CO","Government","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","15607","Average","Average","15215","Average","Lower","0","Unknown","Unknown"
"Estes Park Medical Center","Estes Park","CO","Government","3","None","None","Same","None","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","19088","Average","Average","0","Unknown","Unknown"
"Kit Carson County Memorial Hospital","Burlington","CO","Government","2","None","None","Same","None","Same","Same","None","0","Unknown","Unknown","20794","Average","Higher","23073","Average","Higher","0","Unknown","Unknown"
"Memorial Hospital, The","Craig","CO","Government","-1","None","None","Same","Same","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","15350","Average","Average","18773","Average","Lower"
"Yuma District Hospital","Yuma","CO","Government","3","None","None","Same","None","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","16974","Average","Average","0","Unknown","Unknown"
"Spanish Peaks Regional Health Center","Walsenburg","CO","Government","4","None","None","Same","None","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","15574","Average","Average","0","Unknown","Unknown"
"Grand River Medical Center","Rifle","CO","Government","4","Same","None","Above","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","17159","Average","Average","0","Unknown","Unknown"
"Middle Park Medical Center","Kremmling","CO","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"St Vincent General Hospital District","Leadville","CO","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Gunnison Valley Hospital","Gunnison","CO","Government","4","None","None","Same","Above","None","None","Same","0","Unknown","Unknown","0","Unknown","Unknown","17578","Average","Average","21713","Average","Average"
"Mt San Rafael Hospital","Trinidad","CO","Private","4","Same","None","Above","None","None","Same","Same","0","Unknown","Unknown","16990","Average","Average","17807","Average","Average","0","Unknown","Unknown"
"Heart Of The Rockies Regional Medical Center","Salida","CO","Government","5","Same","None","Above","Above","None","None","None","0","Unknown","Unknown","16361","Average","Average","16634","Average","Average","18726","Average","Lower"
"Prowers Medical Center","Lamar","CO","Government","2","Same","None","Below","None","Same","None","None","0","Unknown","Unknown","16748","Average","Average","19318","Average","Average","0","Unknown","Unknown"
"Aspen Valley Hospital","Aspen","CO","Government","4","None","None","Above","Above","Same","None","Same","0","Unknown","Unknown","0","Unknown","Unknown","18840","Average","Average","22461","Average","Average"
"Pioneers Medical Center","Meeker","CO","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","17390","Average","Average","0","Unknown","Unknown"
"Uchealth Pikes Peak Regional Hospital","Woodland Park","CO","Private","4","Same","None","Above","Same","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","14095","Average","Lower","19868","Average","Lower"
"Southwest Memorial Hospital","Cortez","CO","Private","4","Same","None","Above","Above","Same","None","None","0","Unknown","Unknown","16126","Average","Average","14993","Average","Lower","22079","Average","Average"
"Pagosa Springs Medical Center","Pagosa Springs","CO","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Arkansas Valley Regional Medical Center","La Junta","CO","Private","3","None","None","Above","Below","None","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Keefe Memorial Hospital","Cheyenne Wells","CO","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Centura Health-st Thomas More Hospital","Canon City","CO","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Childrens Hospital Colorado","Aurora","CO","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"St Francis Hospital & Medical Center","Hartford","CT","Church","4","Above","Above","Above","Above","Same","Below","Above","23366","Average","Average","17334","Average","Higher","17896","Average","Average","20194","Better","Lower"
"Day Kimball Hospital","Putnam","CT","Private","3","Same","Same","Same","Same","Above","Same","Same","23191","Average","Average","15570","Average","Average","17946","Average","Average","21461","Average","Average"
"Sharon Hospital","Sharon","CT","Proprietary","4","Same","Above","Above","Above","Same","Same","Same","23255","Average","Average","17268","Average","Average","15474","Average","Lower","22994","Average","Average"
"Waterbury Hospital","Waterbury","CT","Proprietary","1","Same","Below","Below","Below","Same","Below","Above","24338","Average","Average","18512","Average","Higher","17730","Average","Average","22938","Average","Higher"
"Stamford Hospital","Stamford","CT","Private","3","Same","Below","Above","Same","Same","Same","Above","25240","Average","Average","18618","Average","Higher","18507","Better","Higher","24420","Average","Higher"
"Lawrence & Memorial Hospital","New London","CT","Private","4","Same","Above","Above","Below","Same","Below","Same","25352","Average","Average","16603","Average","Average","18145","Average","Average","21200","Average","Lower"
"Johnson Memorial Hospital","Stafford Springs","CT","Private","4","Same","Above","Above","Same","Same","Below","Same","0","Unknown","Unknown","16993","Average","Average","17841","Average","Average","24422","Average","Higher"
"Bridgeport Hospital","Bridgeport","CT","Private","1","Above","Below","Below","Below","Same","Below","Same","22703","Average","Average","17566","Average","Average","19200","Better","Higher","24169","Worse","Higher"
"Charlotte Hungerford Hospital","Torrington","CT","Private","1","Below","Below","Same","Below","Same","Below","Same","23794","Average","Average","17586","Average","Average","17601","Average","Average","23526","Average","Average"
"Rockville General Hospital","Rockville","CT","Proprietary","2","Same","None","Below","Below","Same","Below","Same","0","Unknown","Unknown","16334","Average","Average","18487","Average","Average","0","Unknown","Unknown"
"Saint Mary's Hospital","Waterbury","CT","Unknown","2","Same","Above","Below","Below","Same","Below","Same","23638","Average","Average","19064","Average","Higher","18462","Average","Higher","25282","Average","Higher"
"Midstate Medical Center","Meriden","CT","Private","3","Same","Below","Above","Above","Same","Below","Same","23480","Average","Average","17945","Average","Higher","19395","Average","Higher","23697","Average","Higher"
"Greenwich Hospital Association -","Greenwich","CT","Private","4","Above","Below","Above","Above","Same","Below","Same","25035","Average","Average","18034","Better","Higher","18358","Average","Higher","23991","Average","Higher"
"Milford Hospital, Inc","Milford","CT","Private","4","Same","Above","Same","Above","Same","Below","Same","21999","Average","Average","16943","Average","Average","17845","Average","Average","21151","Average","Lower"
"Middlesex Hospital","Middletown","CT","Private","3","Same","Below","Below","Above","Above","Below","Same","25012","Average","Average","16513","Average","Average","18063","Average","Average","23184","Worse","Higher"
"Windham Comm Mem Hosp & Hatch Hosp","Willimantic","CT","Private","4","Same","None","Same","Same","Same","Below","Same","25652","Average","Average","16758","Average","Average","17767","Average","Average","0","Unknown","Unknown"
"Yale-new Haven Hospital","New Haven","CT","Private","4","Above","Above","Below","Same","Same","Below","Above","23981","Average","Average","17807","Better","Higher","18495","Better","Higher","22055","Worse","Average"
"William W Backus Hospital","Norwich","CT","Unknown","4","Above","Above","Above","Below","Same","Below","Above","24368","Average","Average","17270","Average","Average","18298","Average","Higher","23973","Average","Higher"
"Hartford Hospital","Hartford","CT","Private","2","Same","Same","Below","Same","Same","Below","Same","24502","Average","Average","18943","Average","Higher","18749","Average","Higher","22038","Worse","Average"
"Manchester Memorial Hospital","Manchester","CT","Private","1","Same","Below","Below","Below","Same","Below","Same","23323","Average","Average","16669","Average","Average","18207","Average","Average","22238","Average","Average"
"St Vincent's Medical Center","Bridgeport","CT","Church","1","Same","Below","Below","Below","Same","Below","Same","24170","Average","Average","19126","Average","Higher","19048","Average","Higher","23424","Average","Higher"
"Bristol Hospital","Bristol","CT","Private","3","Same","Above","Below","Same","Same","Same","Above","22923","Average","Average","17511","Average","Average","17798","Average","Average","22862","Average","Average"
"Griffin Hospital","Derby","CT","Unknown","1","Same","Below","Below","Above","Same","Below","None","25526","Average","Average","17486","Average","Average","18347","Average","Average","20101","Average","Lower"
"Danbury Hospital","Danbury","CT","Private","2","Same","Below","Above","Same","Same","Below","Same","23055","Average","Average","15815","Average","Lower","17062","Average","Average","22723","Average","Higher"
"Norwalk Hospital Association","Norwalk","CT","Private","3","Above","Below","Below","Below","Same","Same","Same","25982","Average","Higher","18068","Average","Higher","17430","Average","Average","21725","Average","Average"
"Hospital Of Central Connecticut, The","New Britain","CT","Unknown","3","Above","Below","Below","Below","Same","Below","Same","24189","Average","Average","17305","Average","Average","18829","Average","Higher","23535","Average","Higher"
"John Dempsey Hospital","Farmington","CT","Government","3","Same","Below","Below","Above","Same","Below","Above","25429","Average","Average","17755","Average","Average","18801","Average","Higher","24216","Average","Higher"
"Connecticut Hospice Inc,the","Branford","CT","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Masonicare Health Center","Wallingford","CT","Private","3","Same","None","Same","None","Same","None","None","0","Unknown","Unknown","18042","Average","Average","18237","Average","Average","0","Unknown","Unknown"
"Hebrew Home And Hospital Inc","West Hartford","CT","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","16587","Average","Average","0","Unknown","Unknown"
"Connecticut Childrens Medical Center","Hartford","CT","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Christiana Care Health Services, Inc.","Newark","DE","Private","3","Above","Below","Above","Same","Below","Below","Above","25821","Average","Higher","16552","Better","Average","16675","Average","Lower","19164","Better","Lower"
"St Francis Hospital","Wilmington","DE","Private","3","Same","Above","Above","Below","Same","Below","Same","23518","Average","Average","16390","Average","Average","18280","Average","Average","22849","Average","Average"
"Bayhealth Hospital, Kent Campus","Dover","DE","Private","3","Above","Below","Below","Same","Below","Below","Same","23726","Average","Average","16233","Average","Average","17764","Better","Average","21289","Average","Average"
"Nanticoke Memorial Hospital","Seaford","DE","Private","4","Same","Above","Above","Same","Same","Below","Same","23289","Average","Average","17829","Average","Higher","18813","Average","Higher","19581","Average","Lower"
"Beebe Medical Center","Lewes","DE","Private","2","Same","Below","Below","Same","Same","Below","Above","26078","Average","Higher","16864","Average","Average","18576","Average","Higher","20029","Better","Lower"
"Bayhealth - Milford Memorial Hospital","Milford","DE","Private","2","Same","Below","Same","Above","Same","Below","Same","27968","Average","Higher","17923","Average","Average","19309","Average","Higher","19765","Average","Lower"
"Alfred I Dupont Hospital For Children","Wilmington","DE","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"George Washington Univ Hospital","Washington","DC","Proprietary","1","Same","Below","Below","Below","Same","Below","Same","25010","Average","Average","15576","Average","Average","17896","Average","Average","23002","Average","Average"
"Howard University Hospital","Washington","DC","Unknown","2","Same","Above","Below","Below","Same","Below","Same","24642","Average","Average","17907","Average","Average","21580","Average","Higher","0","Unknown","Unknown"
